object_name	relation	subject_id	subject_name
adult sensory neuron	is_a	VFB_001028e5	neuron 73239 (FANC:516643)
adult sensory neuron	is_a	VFB_001028c6	neuron 87366 (FANC:515706)
adult sensory neuron	is_a	VFB_001028c8	neuron 87373 (FANC:515732)
adult sensory neuron	is_a	VFB_001028cr	neuron 81298 (FANC:515980)
adult sensory neuron	is_a	VFB_0010287k	neuron 101188 (FANC:513791)
adult sensory neuron	is_a	VFB_0010291c	neuron 229142 (FANC:664048)
adult sensory neuron	is_a	VFB_001028g1	neuron 26418 (FANC:517717)
adult sensory neuron	is_a	VFB_001027yq	neuron 75908 (FANC:510520)
adult sensory neuron	is_a	VFB_001028a9	neuron 78942 (FANC:514796)
adult sensory neuron	is_a	VFB_001028ev	neuron 87658 (FANC:517161)
adult sensory neuron	is_a	VFB_001028c0	neuron 77114 (FANC:515631)
adult sensory neuron	is_a	VFB_0010285j	neuron 78514 (FANC:513068)
adult sensory neuron	is_a	VFB_0010289k	neuron 80895 (FANC:514474)
adult sensory neuron	is_a	VFB_001028cx	neuron 83368 (FANC:516059)
adult sensory neuron	is_a	VFB_001027yv	neuron 84113 (FANC:510587)
adult sensory neuron	is_a	VFB_001027z1	neuron 84129 (FANC:510662)
adult sensory neuron	is_a	VFB_001027z7	neuron 84140 (FANC:510739)
adult sensory neuron	is_a	VFB_0010287s	neuron 80742 (FANC:513895)
adult sensory neuron	is_a	VFB_0010288q	neuron 189387 (FANC:514203)
adult sensory neuron	is_a	VFB_0010292k	neuron 102612 (FANC:664500)
adult sensory neuron	is_a	VFB_0010290z	neuron 123029 (FANC:664009)
adult sensory neuron	is_a	VFB_0010287t	neuron 107372 (FANC:513908)
adult sensory neuron	is_a	VFB_0010289y	neuron 107572 (FANC:514656)
adult sensory neuron	is_a	VFB_001028gh	neuron 112539 (FANC:517914)
adult sensory neuron	is_a	VFB_0010288f	neuron 99352 (FANC:514063)
adult sensory neuron	is_a	VFB_001028ef	neuron 81459 (FANC:516952)
adult sensory neuron	is_a	VFB_001028em	neuron 106057 (FANC:517044)
adult sensory neuron	is_a	VFB_001027yp	neuron 98274 (FANC:510508)
adult sensory neuron	is_a	VFB_001027yt	neuron 98282 (FANC:510562)
adult sensory neuron	is_a	VFB_001027yx	neuron 98292 (FANC:510612)
adult sensory neuron	is_a	VFB_001027yz	neuron 99253 (FANC:510637)
adult sensory neuron	is_a	VFB_001027z6	neuron 98264 (FANC:510727)
adult sensory neuron	is_a	VFB_001027z8	neuron 98720 (FANC:510752)
adult sensory neuron	is_a	VFB_001028ea	neuron 189993 (FANC:516709)
adult sensory neuron	is_a	VFB_001028eh	neuron 190004 (FANC:516977)
adult sensory neuron	is_a	VFB_001028en	neuron 190028 (FANC:517056)
adult sensory neuron	is_a	VFB_001028fp	neuron 190183 (FANC:517559)
adult sensory neuron	is_a	VFB_001028ft	neuron 190211 (FANC:517606)
adult sensory neuron	is_a	VFB_001028gw	neuron 190436 (FANC:518092)
adult sensory neuron	is_a	VFB_0010287h	neuron 179001 (FANC:513754)
adult sensory neuron	is_a	VFB_0010289b	neuron 100903 (FANC:514357)
adult sensory neuron	is_a	VFB_0010287d	neuron 102660 (FANC:513703)
adult sensory neuron	is_a	VFB_0010288c	neuron 103574 (FANC:514023)
adult sensory neuron	is_a	VFB_0010288h	neuron 98713 (FANC:514088)
adult sensory neuron	is_a	VFB_0010288s	neuron 104223 (FANC:514229)
adult sensory neuron	is_a	VFB_0010288v	neuron 104228 (FANC:514272)
adult sensory neuron	is_a	VFB_0010289u	neuron 102885 (FANC:514606)
adult sensory neuron	is_a	VFB_001028a0	neuron 100938 (FANC:514680)
adult sensory neuron	is_a	VFB_001028a5	neuron 102767 (FANC:514744)
adult sensory neuron	is_a	VFB_001028a7	neuron 100945 (FANC:514771)
adult sensory neuron	is_a	VFB_001028ad	neuron 103671 (FANC:514843)
adult sensory neuron	is_a	VFB_001028ag	neuron 100952 (FANC:514878)
adult sensory neuron	is_a	VFB_001028aj	neuron 100959 (FANC:514916)
adult sensory neuron	is_a	VFB_0010289c	neuron 100911 (FANC:514370)
adult sensory neuron	is_a	VFB_0010289l	neuron 100931 (FANC:514486)
adult sensory neuron	is_a	VFB_0010288w	neuron 189398 (FANC:514285)
adult sensory neuron	is_a	VFB_0010289v	neuron 189484 (FANC:514618)
adult sensory neuron	is_a	VFB_0010289x	neuron 189491 (FANC:514644)
adult sensory neuron	is_a	VFB_001028aa	neuron 189533 (FANC:514808)
adult sensory neuron	is_a	VFB_001028ap	neuron 189581 (FANC:515006)
adult sensory neuron	is_a	VFB_001028as	neuron 189596 (FANC:515046)
adult sensory neuron	is_a	VFB_001028au	neuron 189603 (FANC:515069)
adult sensory neuron	is_a	VFB_001028b4	neuron 189643 (FANC:515208)
adult sensory neuron	is_a	VFB_001028bg	neuron 189681 (FANC:515354)
adult sensory neuron	is_a	VFB_001028bp	neuron 189700 (FANC:515485)
adult sensory neuron	is_a	VFB_001028br	neuron 189706 (FANC:515511)
adult sensory neuron	is_a	VFB_001028bx	neuron 189723 (FANC:515592)
adult sensory neuron	is_a	VFB_001028de	neuron 189902 (FANC:516294)
adult sensory neuron	is_a	VFB_0010292r	neuron 122985 (FANC:664590)
adult sensory neuron	is_a	VFB_0010293b	neuron 123007 (FANC:664721)
adult sensory neuron	is_a	VFB_0010285r	neuron 101068 (FANC:513165)
adult sensory neuron	is_a	VFB_001028dm	neuron 101864 (FANC:516397)
adult sensory neuron	is_a	VFB_0010288a	neuron 80795 (FANC:513996)
