	object	relation	subject_external_db	subject_external_id	subject_name
162	alpha/beta Kenyon cell	is_a	neuprint_JRC	332003895	KCab-a
163	alpha/beta Kenyon cell	is_a	neuprint_JRC	877313996	KCab-c
164	alpha/beta Kenyon cell	is_a	neuprint_JRC	816254592	KCab-c
165	alpha/beta Kenyon cell	is_a	neuprint_JRC	829231385	KCab-a
166	alpha/beta Kenyon cell	is_a	neuprint_JRC	908668522	KCab-s
167	alpha/beta Kenyon cell	is_a	neuprint_JRC	568635279	KCab-s
168	alpha/beta Kenyon cell	is_a	neuprint_JRC	860266123	KCab-c
169	alpha/beta Kenyon cell	is_a	neuprint_JRC	923018290	KCab-s
170	dopaminergic PAM neuron 9	is_a	neuprint_JRC	299613480	PAM09(B1ped)_R
171	alpha/beta Kenyon cell	is_a	neuprint_JRC	332344539	KCab-c
172	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983745	KCab-a
173	fan-shaped neuron	is_a	neuprint_JRC	1105955480	FB6A^FB06a_L
174	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813022054	KCab-s
175	alpha/beta Kenyon cell	is_a	neuprint_JRC	953712141	KCab-a
176	mushroom body vertical lobe arborizing neuron 1	is_a	neuprint_JRC	5813019513	PPL105(a'2a2)_R
177	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813027584	KCab-s
178	alpha/beta Kenyon cell	is_a	neuprint_JRC	425431837	KCab-s
179	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980446	KCab-s
180	alpha/beta Kenyon cell	is_a	neuprint_JRC	693785633	KCab-a
181	alpha/beta Kenyon cell	is_a	neuprint_JRC	363725096	KCab-c
182	alpha/beta Kenyon cell	is_a	neuprint_JRC	817993932	KCab-s
183	fan-shaped neuron	is_a	neuprint_JRC	297908595	FB5G^FB05g_R
184	adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	267551639	pC1c_R
185	DN1p neuron	is_a	neuprint_JRC	5813010153	DN1pA_R
186	fan-shaped neuron	is_a	neuprint_JRC	295133452	FB9A^FB09a_R
187	mushroom body output neuron 19	is_a	neuprint_JRC	423774471	MBON19(a2p3p)_R
188	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813083719	KCab-s
189	alpha/beta Kenyon cell	is_a	neuprint_JRC	829015629	KCab-s
190	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982760	KCab-c
191	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982761	KCab-s
192	alpha/beta Kenyon cell	is_a	neuprint_JRC	1359212271	KCab-s
193	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983579	KCab-a
194	fan-shaped neuron	is_a	neuprint_JRC	5813057169	FB6C_b^FB06d_R
195	alpha/beta Kenyon cell	is_a	neuprint_JRC	908690107	KCab-s
196	alpha/beta Kenyon cell	is_a	neuprint_JRC	661076014	KCab-c
197	alpha/beta Kenyon cell	is_a	neuprint_JRC	537945877	KCab-s
198	alpha/beta Kenyon cell	is_a	neuprint_JRC	332690153	KCab-a
199	alpha/beta Kenyon cell	is_a	neuprint_JRC	662414157	KCab-s
200	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021016	KCab-c
201	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021312	KCab-a
202	fan-shaped neuron	is_a	neuprint_JRC	391155165	FB7G^FB06f_L
203	adult doublesex pC1 (female) neuron	is_a	neuprint_JRC	267214250	pC1b_R
204	alpha/beta Kenyon cell	is_a	neuprint_JRC	332344670	KCab-c
205	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981670	KCab-s
206	alpha/beta Kenyon cell	is_a	neuprint_JRC	332349228	KCab-c
207	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980931	KCab-s
208	alpha/beta Kenyon cell	is_a	neuprint_JRC	816219622	KCab-c
209	alpha/beta Kenyon cell	is_a	neuprint_JRC	754879354	KCab-c
210	alpha/beta Kenyon cell	is_a	neuprint_JRC	940079568	KCab-s
211	alpha/beta Kenyon cell	is_a	neuprint_JRC	860261985	KCab-c
212	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813032946	KCab-c
213	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980219	KCab-s
214	fan-shaped neuron	is_a	neuprint_JRC	296143798	FB9A^FB09a_R
215	alpha/beta Kenyon cell	is_a	neuprint_JRC	332340127	KCab-s
216	fan-shaped neuron	is_a	neuprint_JRC	326849964	FB9B_c^FB09c_R
217	fan-shaped neuron	is_a	neuprint_JRC	1442176747	FB1A^FB01a_L
218	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983166	KCab-c
219	alpha/beta Kenyon cell	is_a	neuprint_JRC	848662421	KCab-c
220	alpha/beta Kenyon cell	is_a	neuprint_JRC	331662717	KCab-s
221	alpha/beta Kenyon cell	is_a	neuprint_JRC	798537456	KCab-c
222	alpha/beta Kenyon cell	is_a	neuprint_JRC	580951922	KCab-s
223	alpha/beta Kenyon cell	is_a	neuprint_JRC	549572017	KCab-s
224	alpha/beta Kenyon cell	is_a	neuprint_JRC	327945928	(aDT6c)(MBDLaxon1)
225	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980799	KCab-c
226	alpha/beta Kenyon cell	is_a	neuprint_JRC	363729312	KCab-s
227	fan-shaped neuron	is_a	neuprint_JRC	5813069331	FB6C_a^FB06c_L
228	fan-shaped neuron	is_a	neuprint_JRC	5813071027	FB6C_b^FB06d_L
229	alpha/beta Kenyon cell	is_a	neuprint_JRC	569313277	KCab-a
230	fan-shaped neuron	is_a	neuprint_JRC	330661573	FB6S^FB06x_R
231	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021292	KCab-c
232	alpha/beta Kenyon cell	is_a	neuprint_JRC	736808904	KCab-s
233	fan-shaped neuron	is_a	neuprint_JRC	297519807	FB8F_b^FB08i_R
234	alpha/beta Kenyon cell	is_a	neuprint_JRC	735785459	KCab-s
235	alpha/beta Kenyon cell	is_a	neuprint_JRC	970772961	KCab-a
236	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980615	KCab-s
237	alpha/beta Kenyon cell	is_a	neuprint_JRC	767502627	KCab-c
238	fan-shaped neuron	is_a	neuprint_JRC	916629616	FB8F_b^FB08i_L
239	fan-shaped neuron	is_a	neuprint_JRC	296514350	FB1B^FB01b_R
240	LNd neuron	is_a	neuprint_JRC	448260940	LNd(aSP7a)_R
241	alpha/beta Kenyon cell	is_a	neuprint_JRC	1108541296	KCab-a
242	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983576	KCab-s
243	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813067761	KCab-a
244	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021400	KCab-a
245	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812981669	KCab-s
246	fan-shaped neuron	is_a	neuprint_JRC	885603106	FB7E^FB07j_L
247	alpha/beta Kenyon cell	is_a	neuprint_JRC	846611908	KCab-c
