subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
4061049	VFB_001015a7	v\'td_vnc_a5r (L1EM:4061049)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19220239	VFB_001015dt	neuron 19220240 (L1EM:19220239)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522280	VFB_001015gf	neuron 19522281 (L1EM:19522280)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
374619	VFB_0010157r	a4r class III md or could be es (L1EM:374619)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
7627878	VFB_001015b8	v\'td_a1r (L1EM:7627878)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3727963	VFB_0010159p	Munin right 2 (L1EM:3727963)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19266588	VFB_001015dy	neuron 19266589 (L1EM:19266588)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19300574	VFB_001015fy	neuron 19300575 (L1EM:19300574)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297720	VFB_001015es	neuron 19297721 (L1EM:19297720)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
15232796	VFB_001015cn	ddaC_t3l (L1EM:15232796)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19029736	VFB_001015dg	neuron 19029737 (L1EM:19029736)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522300	VFB_001015gh	neuron 19522301 (L1EM:19522300)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299858	VFB_001015fo	neuron 19299859 (L1EM:19299858)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297542	VFB_001015e3	neuron 19297543 (L1EM:19297542)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297732	VFB_001015eu	neuron 19297733 (L1EM:19297732)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9524538	VFB_001015bm	MB2IN-158 (L1EM:9524538)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
