subject_external_id	object	subject_external_db	relation	pub
2655798	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3944626	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16195633	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
14539753	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9424902	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
8357933	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
12962772	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3027876	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13764822	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5688091	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5038920	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17062823	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17814107	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3539170	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17740547	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13313410	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
4991243	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17732291	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17355745	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17356454	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
12000033	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3797420	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
18440675	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17351780	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11229136	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17359133	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9842383	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13830600	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17728571	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17423125	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17728605	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17359101	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
