subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940605151456	FlyWire:720575940605151456	VFB_fw118138	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940605156064	FlyWire:720575940605156064	VFB_fw118187	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605165228	FlyWire:720575940605165228	VFB_fw098933	flywire783	is_a	centrifugal neuron C3	
720575940605177033	FlyWire:720575940605177033	VFB_fw046483	flywire783	is_a	adult medulla-tubercle neuron 3	
720575940605178558	FlyWire:720575940605178558	VFB_fw013790	flywire783	is_a	adult medulla visual projection neuron MeVP3	FlyBase:FBrf0262545
720575940605180337	FlyWire:720575940605180337	VFB_fw017064	flywire783	is_a	alpha/beta Kenyon cell	
720575940605184958	FlyWire:720575940605184958	VFB_fw014880	flywire783	is_a	accessory medulla neuron aMe5	
720575940605188268	FlyWire:720575940605188268	VFB_fw099854	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940605194016	FlyWire:720575940605194016	VFB_fw072946	flywire783	is_a	transmedullary neuron Tm31	FlyBase:FBrf0262545
720575940605199038	FlyWire:720575940605199038	VFB_fw071959	flywire783	is_a	transmedullary neuron Tm24	FlyBase:FBrf0262545
720575940605211872	FlyWire:720575940605211872	VFB_fw120098	flywire783	is_a	adult transmedullary CB3851 neuron	
720575940605214636	FlyWire:720575940605214636	VFB_fw036416	flywire783	is_a	unpaired neuron	
720575940605220542	FlyWire:720575940605220542	VFB_fw072900	flywire783	is_a	adult transmedullary Y neuron TmY21	FlyBase:FBrf0262545
720575940605227232	FlyWire:720575940605227232	VFB_fw091408	flywire783	is_a	adult central medulla intrinsic neuron Cm5	FlyBase:FBrf0262545
720575940605237932	FlyWire:720575940605237932	VFB_fw101616	flywire783	is_a	adult central medulla intrinsic neuron Cm6	FlyBase:FBrf0262545
720575940605245984	FlyWire:720575940605245984	VFB_fw074848	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940605246850	FlyWire:720575940605246850	VFB_fw025182	flywire783	is_a	alpha/beta Kenyon cell	
720575940605252064	FlyWire:720575940605252064	VFB_fw061084	flywire783	is_a	adult medulla-lobula neuron MeLo7	FlyBase:FBrf0262545
720575940605266818	FlyWire:720575940605266818	VFB_fw059504	flywire783	is_a	adult lobula intrinsic neuron Li13	FlyBase:FBrf0262545
720575940605278380	FlyWire:720575940605278380	VFB_fw103634	flywire783	is_a	adult central medulla intrinsic neuron Cm5	FlyBase:FBrf0262545
720575940605278386	FlyWire:720575940605278386	VFB_fw044889	flywire783	is_a	adult medulla-tubercle neuron of dorsal rim area	
720575940605279008	FlyWire:720575940605279008	VFB_fw075018	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940605302188	FlyWire:720575940605302188	VFB_fw106543	flywire783	is_a	transmedullary neuron Tm35	FlyBase:FBrf0262545
720575940605314732	FlyWire:720575940605314732	VFB_fw108618	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
