subject_external_id	subject_external_db	relation	object
296855409	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296859399	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296859438	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296863817	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296867934	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
296868077	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296872298	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
296872415	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
296880800	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
296885362	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
297040863	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
297165904	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297166053	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297166197	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297178509	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297179343	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297183244	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297183251	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297192193	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297192204	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297196636	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297217528	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297221971	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297230760	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297239396	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297243542	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297247801	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297251714	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297251765	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297498027	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297502392	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297519736	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297519807	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297519815	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297519843	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297519947	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297520036	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297524212	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297528119	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297528741	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297533212	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297541369	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297558862	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297563139	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
