filename	is_a	part_of	dbxrefs	label
42184	neuron	adult nervous system	male-cns_v0_9:42184	T1_R (MaleCNS:42184)
44403	neuron	adult nervous system	male-cns_v0_9:44403	T1_R (MaleCNS:44403)
39161	neuron	adult nervous system	male-cns_v0_9:39161	T1_R (MaleCNS:39161)
41350	neuron	adult nervous system	male-cns_v0_9:41350	T1_R (MaleCNS:41350)
51833	neuron	adult nervous system	male-cns_v0_9:51833	T1_R (MaleCNS:51833)
22712	neuron	adult nervous system	male-cns_v0_9:22712	T1_L (MaleCNS:22712)
548692	neuron	adult nervous system	male-cns_v0_9:548692	T1_L (MaleCNS:548692)
107502	neuron	adult nervous system	male-cns_v0_9:107502	T1_L (MaleCNS:107502)
116825	neuron	adult nervous system	male-cns_v0_9:116825	T1_L (MaleCNS:116825)
537911	neuron	adult nervous system	male-cns_v0_9:537911	T1_L (MaleCNS:537911)
84772	neuron	adult nervous system	male-cns_v0_9:84772	T1_R (MaleCNS:84772)
78001	neuron	adult nervous system	male-cns_v0_9:78001	T1_L (MaleCNS:78001)
37362	neuron	adult nervous system	male-cns_v0_9:37362	T1_R (MaleCNS:37362)
49118	neuron	adult nervous system	male-cns_v0_9:49118	T1_L (MaleCNS:49118)
42318	neuron	adult nervous system	male-cns_v0_9:42318	T1_L (MaleCNS:42318)
44857	neuron	adult nervous system	male-cns_v0_9:44857	T1_L (MaleCNS:44857)
40705	neuron	adult nervous system	male-cns_v0_9:40705	T1_L (MaleCNS:40705)
57402	neuron	adult nervous system	male-cns_v0_9:57402	T1_R (MaleCNS:57402)
68461	neuron	adult nervous system	male-cns_v0_9:68461	T1_L (MaleCNS:68461)
78479	neuron	adult nervous system	male-cns_v0_9:78479	T1_L (MaleCNS:78479)
89964	neuron	adult nervous system	male-cns_v0_9:89964	T1_L (MaleCNS:89964)
83771	neuron	adult nervous system	male-cns_v0_9:83771	T1_R (MaleCNS:83771)
93418	neuron	adult nervous system	male-cns_v0_9:93418	T1_R (MaleCNS:93418)
44399	neuron	adult nervous system	male-cns_v0_9:44399	T1_L (MaleCNS:44399)
105490	neuron	adult nervous system	male-cns_v0_9:105490	T1_L (MaleCNS:105490)
117601	neuron	adult nervous system	male-cns_v0_9:117601	T1_R (MaleCNS:117601)
24218	neuron	adult nervous system	male-cns_v0_9:24218	T1_L (MaleCNS:24218)
38696	neuron	adult nervous system	male-cns_v0_9:38696	T1_R (MaleCNS:38696)
61221	neuron	adult nervous system	male-cns_v0_9:61221	T1_R (MaleCNS:61221)
98855	neuron	adult nervous system	male-cns_v0_9:98855	T1_L (MaleCNS:98855)
79585	neuron	adult nervous system	male-cns_v0_9:79585	T1_L (MaleCNS:79585)
39571	neuron	adult nervous system	male-cns_v0_9:39571	T1_R (MaleCNS:39571)
52048	neuron	adult nervous system	male-cns_v0_9:52048	T1_R (MaleCNS:52048)
72412	neuron	adult nervous system	male-cns_v0_9:72412	T1_R (MaleCNS:72412)
40745	neuron	adult nervous system	male-cns_v0_9:40745	T1_R (MaleCNS:40745)
52049	neuron	adult nervous system	male-cns_v0_9:52049	T1_R (MaleCNS:52049)
39203	neuron	adult nervous system	male-cns_v0_9:39203	T1_R (MaleCNS:39203)
48242	neuron	adult nervous system	male-cns_v0_9:48242	T1_L (MaleCNS:48242)
53911	neuron	adult nervous system	male-cns_v0_9:53911	T1_L (MaleCNS:53911)
15738	neuron	adult nervous system	male-cns_v0_9:15738	T1_L (MaleCNS:15738)
43704	neuron	adult nervous system	male-cns_v0_9:43704	T1_L (MaleCNS:43704)
75462	neuron	adult nervous system	male-cns_v0_9:75462	T1_L (MaleCNS:75462)
81065	neuron	adult nervous system	male-cns_v0_9:81065	T1_R (MaleCNS:81065)
48660	neuron	adult nervous system	male-cns_v0_9:48660	T1_R (MaleCNS:48660)
548455	neuron	adult nervous system	male-cns_v0_9:548455	T1_R (MaleCNS:548455)
61688	neuron	adult nervous system	male-cns_v0_9:61688	T1_L (MaleCNS:61688)
150813	neuron	adult nervous system	male-cns_v0_9:150813	T1_L (MaleCNS:150813)
47640	neuron	adult nervous system	male-cns_v0_9:47640	T1_R (MaleCNS:47640)
41661	neuron	adult nervous system	male-cns_v0_9:41661	T1_L (MaleCNS:41661)
41386	neuron	adult nervous system	male-cns_v0_9:41386	T1_R (MaleCNS:41386)
41067	neuron	adult nervous system	male-cns_v0_9:41067	T1_R (MaleCNS:41067)
38142	neuron	adult nervous system	male-cns_v0_9:38142	T1_R (MaleCNS:38142)
38170	neuron	adult nervous system	male-cns_v0_9:38170	T1_R (MaleCNS:38170)
33573	neuron	adult nervous system	male-cns_v0_9:33573	T1_R (MaleCNS:33573)
82501	neuron	adult nervous system	male-cns_v0_9:82501	T1_R (MaleCNS:82501)
27549	neuron	adult nervous system	male-cns_v0_9:27549	T1_L (MaleCNS:27549)
88551	neuron	adult nervous system	male-cns_v0_9:88551	T1_L (MaleCNS:88551)
37761	neuron	adult nervous system	male-cns_v0_9:37761	T1_L (MaleCNS:37761)
41525	neuron	adult nervous system	male-cns_v0_9:41525	T1_R (MaleCNS:41525)
41574	neuron	adult nervous system	male-cns_v0_9:41574	T1_R (MaleCNS:41574)
69137	neuron	adult nervous system	male-cns_v0_9:69137	T1_R (MaleCNS:69137)
44888	neuron	adult nervous system	male-cns_v0_9:44888	T1_R (MaleCNS:44888)
59406	neuron	adult nervous system	male-cns_v0_9:59406	T1_R (MaleCNS:59406)
57820	neuron	adult nervous system	male-cns_v0_9:57820	T1_R (MaleCNS:57820)
56092	neuron	adult nervous system	male-cns_v0_9:56092	T1_L (MaleCNS:56092)
40746	neuron	adult nervous system	male-cns_v0_9:40746	T1_R (MaleCNS:40746)
45015	neuron	adult nervous system	male-cns_v0_9:45015	T1_L (MaleCNS:45015)
519014	neuron	adult nervous system	male-cns_v0_9:519014	T1_L (MaleCNS:519014)
92428	neuron	adult nervous system	male-cns_v0_9:92428	T1_R (MaleCNS:92428)
45293	neuron	adult nervous system	male-cns_v0_9:45293	T1_R (MaleCNS:45293)
78250	neuron	adult nervous system	male-cns_v0_9:78250	T1_R (MaleCNS:78250)
50409	neuron	adult nervous system	male-cns_v0_9:50409	T1_L (MaleCNS:50409)
36194	neuron	adult nervous system	male-cns_v0_9:36194	T1_R (MaleCNS:36194)
915523	neuron	adult nervous system	male-cns_v0_9:915523	T1_L (MaleCNS:915523)
76745	neuron	adult nervous system	male-cns_v0_9:76745	T1_R (MaleCNS:76745)
44305	neuron	adult nervous system	male-cns_v0_9:44305	T1_L (MaleCNS:44305)
42394	neuron	adult nervous system	male-cns_v0_9:42394	T1_L (MaleCNS:42394)
47575	neuron	adult nervous system	male-cns_v0_9:47575	T1_R (MaleCNS:47575)
40776	neuron	adult nervous system	male-cns_v0_9:40776	T1_L (MaleCNS:40776)
70023	neuron	adult nervous system	male-cns_v0_9:70023	T1_R (MaleCNS:70023)
42910	neuron	adult nervous system	male-cns_v0_9:42910	T1_R (MaleCNS:42910)
91969	neuron	adult nervous system	male-cns_v0_9:91969	T1_L (MaleCNS:91969)
89561	neuron	adult nervous system	male-cns_v0_9:89561	T1_R (MaleCNS:89561)
