filename	label	is_a	part_of	dbxrefs
8019816	BL 2 ; Right; CM13 med 1	neuron	embryonic/larval nervous system	catmaid_l1em:8019816
8052161	DALv23 L subMB 1 or 2_left	neuron	embryonic/larval nervous system	catmaid_l1em:8052161
8075484	M ; F6 pair_right	neuron	embryonic/larval nervous system	catmaid_l1em:8075484
8078096	BG ; Baso-anterior target neuron #2 MB PN_left	neuron	embryonic/larval nervous system	catmaid_l1em:8078096
8118947	D ; Feedback neuron from nociceptive_left	neuron	embryonic/larval nervous system	catmaid_l1em:8118947
8135412	SEZ FFN right	neuron	embryonic/larval nervous system	catmaid_l1em:8135412
8349454	GB: left	neuron	embryonic/larval nervous system	catmaid_l1em:8349454
8540770	BAmd1 v 2 right	neuron	embryonic/larval nervous system	catmaid_l1em:8540770
8689148	CP23 v 7	neuron	embryonic/larval nervous system	catmaid_l1em:8689148
8712361	AB_right	neuron	embryonic/larval nervous system	catmaid_l1em:8712361
8790590	T27h_t2r	neuron	embryonic/larval nervous system	catmaid_l1em:8790590
8792477	BL1 ; CM13 lat 1_right	neuron	embryonic/larval nervous system	catmaid_l1em:8792477
8802069	neuron 8802070 down_oct	neuron	embryonic/larval nervous system	catmaid_l1em:8802069
8814922	BLAd ant lat 1_right	neuron	embryonic/larval nervous system	catmaid_l1em:8814922
8838927	neuron 8838928	neuron	embryonic/larval nervous system	catmaid_l1em:8838927
8864785	N_left	neuron	embryonic/larval nervous system	catmaid_l1em:8864785
9048462	MBE7a-like left	neuron	embryonic/larval nervous system	catmaid_l1em:9048462
9057043	BY_right	neuron	embryonic/larval nervous system	catmaid_l1em:9057043
9062992	BL1 ; CM13 lat 1_left	neuron	embryonic/larval nervous system	catmaid_l1em:9062992
9064208	BL ; CM13 med 4_left	neuron	embryonic/larval nervous system	catmaid_l1em:9064208
9072237	DALv23 L dor pos 1 left	neuron	embryonic/larval nervous system	catmaid_l1em:9072237
9083312	MBE34-like_left; Left Handlebar?	neuron	embryonic/larval nervous system	catmaid_l1em:9083312
9103732	DA_right	neuron	embryonic/larval nervous system	catmaid_l1em:9103732
9141404	A ; 4th order Thermo_left	neuron	embryonic/larval nervous system	catmaid_l1em:9141404
9238937	DA_left	neuron	embryonic/larval nervous system	catmaid_l1em:9238937
9251793	SJ: DALv23 L LAL dor pos 2_left	neuron	embryonic/larval nervous system	catmaid_l1em:9251793
9252296	DALv23 L LAL dor pos 3 left	neuron	embryonic/larval nervous system	catmaid_l1em:9252296
9287906	DPLm1(D CB)3_right	neuron	embryonic/larval nervous system	catmaid_l1em:9287906
9423829	BY_left	neuron	embryonic/larval nervous system	catmaid_l1em:9423829
9457719	CP23 d 5_right	neuron	embryonic/larval nervous system	catmaid_l1em:9457719
9507904	Smash_right_sibling	neuron	embryonic/larval nervous system	catmaid_l1em:9507904
9527333	Headphone_left	neuron	embryonic/larval nervous system	catmaid_l1em:9527333
9527522	X ; F1 pair; DALcm12 L m ant lat 9_left	neuron	embryonic/larval nervous system	catmaid_l1em:9527522
9798791	Basal Tel-like 9 right	neuron	embryonic/larval nervous system	catmaid_l1em:9798791
9841469	Sleepy-2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:9841469
9848760	AR ; Putative MBE; CP4 1_right	neuron	embryonic/larval nervous system	catmaid_l1em:9848760
10202724	LP: BAmas d 3_left	neuron	embryonic/larval nervous system	catmaid_l1em:10202724
10209260	AE_left	neuron	embryonic/larval nervous system	catmaid_l1em:10209260
10281116	neuron 10281117	neuron	embryonic/larval nervous system	catmaid_l1em:10281116
10351681	Horns_right	neuron	embryonic/larval nervous system	catmaid_l1em:10351681
10612094	CZ2_left	neuron	embryonic/larval nervous system	catmaid_l1em:10612094
10612630	To finish with soma; CP23 v 10 right	neuron	embryonic/larval nervous system	catmaid_l1em:10612630
10617840	lowercase-h right	neuron	embryonic/larval nervous system	catmaid_l1em:10617840
10682660	BL4_left	neuron	embryonic/larval nervous system	catmaid_l1em:10682660
10809383	O ; BAmd1 v_left	neuron	embryonic/larval nervous system	catmaid_l1em:10809383
11003660	BJ_left	neuron	embryonic/larval nervous system	catmaid_l1em:11003660
11011058	Not Finished left	neuron	embryonic/larval nervous system	catmaid_l1em:11011058
11013351	U3 ; bilateral-2_left	neuron	embryonic/larval nervous system	catmaid_l1em:11013351
11018254	G ; 4th order Thermo (Stops Halfway); DALcm12 L m ant lat 10_left	neuron	embryonic/larval nervous system	catmaid_l1em:11018254
11051740	DALl1 2 left	neuron	embryonic/larval nervous system	catmaid_l1em:11051740
11234536	Headphone-2_right	neuron	embryonic/larval nervous system	catmaid_l1em:11234536
11361875	DPMpm a 1 MEF comm	neuron	embryonic/larval nervous system	catmaid_l1em:11361875
