filename	is_a	part_of	Imaging_type	Template	dbxrefs	label	comment
546977514	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:546977514	LPN(PDL18)_L (FlyEM-HB:546977514)	Newly typed in 1.2.1
609384093	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:609384093	SMP317(PDM06)_L (FlyEM-HB:609384093)	Newly typed in 1.2.1
581790318	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:581790318	SMP507(PDM22)_L (FlyEM-HB:581790318)	Newly typed in 1.2.1
1856259388	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1856259388	VM5d_adPN_L (FlyEM-HB:1856259388)	Newly typed in 1.2.1
851235543	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:851235543	DM4_adPN_L (FlyEM-HB:851235543)	Newly typed in 1.2.1
882615309	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:882615309	DM6_adPN_L (FlyEM-HB:882615309)	Newly typed in 1.2.1
972603320	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:972603320	OCG09 (FlyEM-HB:972603320)	Newly typed in 1.2.1
733873446	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:733873446	SMP506(PDM22)_L (FlyEM-HB:733873446)	Newly typed in 1.2.1
1671076884	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1671076884	D_adPN_L (FlyEM-HB:1671076884)	Newly typed in 1.2.1
855630800	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:855630800	SMP316(PDM06)_L (FlyEM-HB:855630800)	Newly typed in 1.2.1
577369038	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:577369038	ATL004(ADL29)_L (FlyEM-HB:577369038)	Newly typed in 1.2.1
1450016008	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1450016008	AVLP562(PVL15)_L (FlyEM-HB:1450016008)	Newly typed in 1.2.1
1547273567	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1547273567	VM5d_adPN_L (FlyEM-HB:1547273567)	Newly typed in 1.2.1
881933350	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:881933350	DM6_adPN_L (FlyEM-HB:881933350)	Newly typed in 1.2.1
361114148	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:361114148	SMP553(PDM30)_L (FlyEM-HB:361114148)	Newly typed in 1.2.1
948778197	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:948778197	CL184(PDM11)_L (FlyEM-HB:948778197)	Newly typed in 1.2.1
297917459	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:297917459	SLP388(PDM07)_L (FlyEM-HB:297917459)	Newly typed in 1.2.1
1003655362	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1003655362	OCG09 (FlyEM-HB:1003655362)	Newly typed in 1.2.1
5901197274	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5901197274	SMP528(PDM24)_L (FlyEM-HB:5901197274)	Newly typed in 1.2.1
5813058452	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813058452	CRE106(PVM14)_L (FlyEM-HB:5813058452)	Newly typed in 1.2.1
5813054061	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813054061	DM2_lPN_L (FlyEM-HB:5813054061)	Newly typed in 1.2.1
544265926	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:544265926	SMP271(PDL20)_L (FlyEM-HB:544265926)	Newly typed in 1.2.1
5812994744	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5812994744	D_adPN_L (FlyEM-HB:5812994744)	Newly typed in 1.2.1
977727797	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:977727797	CL098(AVL12)_L (FlyEM-HB:977727797)	Newly typed in 1.2.1
1254331599	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1254331599	CL262(PVL05)_L (FlyEM-HB:1254331599)	Newly typed in 1.2.1
978432050	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:978432050	PS111(PDM11)_L (FlyEM-HB:978432050)	Newly typed in 1.2.1
853251409	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:853251409	IB110(PVM12)_L (FlyEM-HB:853251409)	Newly typed in 1.2.1
1702806746	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1702806746	DA3_adPN_L (FlyEM-HB:1702806746)	Newly typed in 1.2.1
1222928970	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1222928970	IB088(PVM08)_L (FlyEM-HB:1222928970)	Newly typed in 1.2.1
913649999	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:913649999	DM6_adPN_L (FlyEM-HB:913649999)	Newly typed in 1.2.1
880780647	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:880780647	OCG09 (FlyEM-HB:880780647)	Newly typed in 1.2.1
986918760	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:986918760	CRE106(PVM14)_L (FlyEM-HB:986918760)	Newly typed in 1.2.1
5813056932	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813056932	SMP389(PDM09)_L (FlyEM-HB:5813056932)	Newly typed in 1.2.1
424923616	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:424923616	SMP190(PDL05)_L (FlyEM-HB:424923616)	Newly typed in 1.2.1
1700428338	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1700428338	DL5_adPN_L (FlyEM-HB:1700428338)	Newly typed in 1.2.1
671449467	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:671449467	SMP317(PDM06)_L (FlyEM-HB:671449467)	Newly typed in 1.2.1
1038787685	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1038787685	IB088(PVM08)_L (FlyEM-HB:1038787685)	Newly typed in 1.2.1
