filename	label	is_a	part_of	Curator	DataSet	Template	Imaging_type	synonyms
AL-VP3(R)	AL-VP3(R)	antennal lobe glomerulus VP3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP3(R) on JRC_FlyEM_Hemibrain
AL-VP4(R)	AL-VP4(R)	antennal lobe glomerulus VP4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP4(R) on JRC_FlyEM_Hemibrain
AL-VP5(R)	AL-VP5(R)	antennal lobe glomerulus VP5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-VP5(R) on JRC_FlyEM_Hemibrain
b\'1(R)	b\'1(R)	mushroom body beta\' lobe slice 1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b'1(R) on JRC_FlyEM_Hemibrain
b\'2(R)	b\'2(R)	mushroom body beta\' lobe slice 2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b\'2(R) on JRC_FlyEM_Hemibrain
b\'L(L)	b\'L(L)	adult mushroom body beta\'-lobe	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b\'L(L) on JRC_FlyEM_Hemibrain
b\'L(R)	b\'L(R)	adult mushroom body beta\'-lobe	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b\'L(R) on JRC_FlyEM_Hemibrain
b1(R)	b1(R)	mushroom body beta lobe slice 1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b1(R) on JRC_FlyEM_Hemibrain
b2(R)	b2(R)	mushroom body beta lobe slice 2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	b2(R) on JRC_FlyEM_Hemibrain
CX	CX	adult central complex	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	CX on JRC_FlyEM_Hemibrain
dACA(R)	dACA(R)	mushroom body dorsal accessory calyx	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	dACA(R) on JRC_FlyEM_Hemibrain
EBr1	EBr1	ellipsoid body inner posterior domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr1 on JRC_FlyEM_Hemibrain
EBr3pw	EBr3pw	ellipsoid body inner posterior domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr3pw on JRC_FlyEM_Hemibrain
EBr2r4	EBr2r4	ellipsoid body outer central domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr2r4 on JRC_FlyEM_Hemibrain
EBr3am	EBr3am	ellipsoid body inner central domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr3am on JRC_FlyEM_Hemibrain
EBr3d	EBr3d	ellipsoid body inner central domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr3d on JRC_FlyEM_Hemibrain
EBr5	EBr5	ellipsoid body anterior domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr5 on JRC_FlyEM_Hemibrain
EBr6	EBr6	ellipsoid body outer posterior domain	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	EBr6 on JRC_FlyEM_Hemibrain
FBl1	FBl1	fan-shaped body layer 1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl1 on JRC_FlyEM_Hemibrain
