filename	label	AD	DBD	part_of	Template
20x-Brain-2094604442115506274	JRC_LH263_Brain_2019_20141219_41_G5	P{R14B11-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2094604408745623650	JRC_LH272_Brain_2019_20141219_41_D1	P{R14E05-p65.AD}	P{R41H09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2094604375107305570	JRC_LH141_Brain_2019_20141212_42_F5	P{R79C09-p65.AD}	P{R22A12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2113432814069219426	JRC_LH528_Brain_2019_20150123_41_C2	P{R65H10-p65.AD}	P{R81E08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206937186107490	JRC_LH1543_Brain_2019_20150227_41_E2	P{R76E07-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206942819057762	JRC_LH1518_Brain_2019_20150227_41_F1	P{R85A07-p65.AD}	P{R65H10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2128206943913771106	JRC_LH509_Brain_2019_20150227_41_F2	P{R13C04-p65.AD}	P{R79C09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148865070432354	JRC_LH979_Brain_2019_20150306_41_B4	P{R84F07-p65.AD}	P{R37A11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148918669443170	JRC_LH788_Brain_2019_20150306_41_E5	P{R34C08-p65.AD}	P{R22C12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2134776485519556706	JRC_LH247_Brain_2019_20150403_42_A1	P{R82F03-p65.AD}	P{R34G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2134776487977418850	JRC_LH542_Brain_2019_20150403_42_A4	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2134776508990881890	JRC_LH191_Brain_2019_20150327_43_B6	P{R84F07-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2136913422183301218	JRC_LH1478_Brain_2019_20150410_41_A5	P{R64E06-p65.AD}	P{R65C07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148829771169890	JRC_LH290_Brain_2019_20150313_46_G2	P{R38D01-p65.AD}	P{R45F12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2136913423949103202	JRC_LH1197_Brain_2019_20150410_41_B1	P{R30F11-p65.AD}	P{R48D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2136913426557960290	JRC_LH849_Brain_2019_20150410_41_B4	P{R11E08-p65.AD}	P{R28A10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2136913443607806050	JRC_LH1475_Brain_2019_20150410_41_E5	P{R86A05-p65.AD}	P{R65C07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2146798862671544418	JRC_LH123_Brain_2019_20150508_43_C3	P{R16C09-p65.AD}	P{R20G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2146798879260016738	JRC_LH1046_Brain_2019_20150508_43_E4	P{R82F03-p65.AD}	P{R41G09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148807868514402	JRC_LH1337_Brain_2019_20150313_46_F1	P{R41H07-p65.AD}	P{R53C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148750008090722	JRC_LH1112_Brain_2019_20150313_46_A2	P{R37E08-p65.AD}	P{R41H07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514057159901282	JRC_LH1594_Brain_2019_20150515_41_A3	P{R43D01-p65.AD}	P{R76G09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2094604501284552802	JRC_LH279_Brain_2019_20141219_42_F4	P{R70G05-p65.AD}	P{R41H09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514073568018530	JRC_LH1293_Brain_2019_20150515_41_D4	P{R16C09-p65.AD}	P{R52H12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2131148851887734882	JRC_LH808_Brain_2019_20150306_41_A6	P{R84A06-p65.AD}	P{R25B10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2094604460230705250	JRC_LH166_Brain_2019_20141219_42_B5	P{R31D07-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815415481729122	JRC_LH260_Brain_2019_20141212_41_D2	P{R46E07-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815528593719394	JRC_LH168_Brain_2019_20141212_41_F1	P{R46A08-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815568502521954	JRC_LH85_Brain_2019_20141212_41_F5	P{R50H07-p65.AD}	P{R16H04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2084467454364352610	JRC_LH374_Brain_2019_20141121_43_G3	P{R13E04-p65.AD}	P{R53B06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2022090243204710498	JRC_LH2454_Brain_2019_20140609_41_B3	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2150514097014177890	JRC_LH1284_Brain_2019_20150522_44_B3	P{R38F08-p65.AD}	P{R52H12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815209646260322	JRC_LH185_Brain_2019_20141212_41_A1	P{R20A03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-1996778063358066786	JRC_LH2448_Brain_2019_20140411_32_G1	P{R10E07-p65.AD}	P{R53C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815379721093218	JRC_LH259_Brain_2019_20141212_41_C5	P{R93F07-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2037250318328135778	JRC_LH2446_Brain_2019_20140617_41_F1	P{VT029753-p65.AD}	P{R55C09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2094604469693055074	JRC_LH180_Brain_2019_20141219_42_C5	P{R24C08-p65.AD}	P{R30E03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2092815347815022690	JRC_LH258_Brain_2019_20141212_41_C3	P{R21D06-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2249311219569655906	JRC_LH1539_Brain_2019_20160226_53_G4	P{R94B04-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2084467421808164962	JRC_LH18_Brain_2019_20141114_44_G1	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331603460274782306	JRC_LH2094_Brain_2019_20161007_28_F1	P{VT006486-p65.AD}	P{VT008489-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331603458156658786	JRC_LH2094_Brain_2019_20161007_28_E1	P{VT006486-p65.AD}	P{VT008489-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2338407065229197410	JRC_LH2088_Brain_2019_20161104_18_A2	P{VT060731-p65.AD}	P{VT006486-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2340995482567835793	JRC_LH2193_Brain_2019_20161116_31_E4	P{VT060077-p65.AD}	P{VT029317-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2338407078424477794	JRC_LH2193_Brain_2019_20161104_18_B1	P{VT060077-p65.AD}	P{VT029317-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331605887912771682	JRC_LH2088_Brain_2019_20161019_31_I3	P{VT060731-p65.AD}	P{VT006486-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331605887287820386	JRC_LH2088_Brain_2019_20161019_31_I1	P{VT060731-p65.AD}	P{VT006486-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2394570808639881314	JRC_LH1129_Brain_2019_20170411_31_G1	P{R14B11-p65.AD}	P{R44G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2383724106030776418	JRC_LH2201_Brain_2019_20170308_32_B1	P{VT058720-p65.AD}	P{VT041887-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2380803185569693794	JRC_LH304_Brain_2019_20170303_21_B4	P{R65H10-p65.AD}	P{R46E11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2387048900998463586	JRC_LH2201_Brain_2019_20170324_29_C1	P{VT058720-p65.AD}	P{VT041887-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2387048900184768610	JRC_LH2201_Brain_2019_20170324_29_B4	P{VT058720-p65.AD}	P{VT041887-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2358698993661247586	JRC_LH1959_Brain_2019_20170104_33_D2	P{R58F03-p65.AD}	P{R30A10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2383782236194340962	JRC_LH990_Brain_2019_20170303_26_A2	P{R48F03-p65.AD}	P{R37G11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2383782236034957410	JRC_LH990_Brain_2019_20170303_26_A1	P{R48F03-p65.AD}	P{R37G11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2372587536045310050	JRC_LH1827_Brain_2019_20170214_31_D3	P{R30A10-p65.AD}	P{R95F09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331603439324233826	JRC_LH1539_Brain_2019_20161007_29_E2	P{R94B04-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2343495185180131356	JRC_LH1539_Brain_2019_20161116_32_D3	P{R94B04-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2343495187382140956	JRC_LH1539_Brain_2019_20161116_32_D4	P{R94B04-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2357274456872714338	JRC_LH1538_Brain_2019_20170103_33_H2	P{R93A02-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2357274456742690914	JRC_LH1538_Brain_2019_20170103_33_H1	P{R93A02-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2349380923721515106	JRC_LH2387_Brain_2019_20161207_32_E2	P{R44G08-p65.AD}	P{VT016266-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2331603441073258594	JRC_LH2392_Brain_2019_20161007_29_F1	P{R34E09-p65.AD}	P{VT023823-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2349380923641823330	JRC_LH2387_Brain_2019_20161207_32_E1	P{R44G08-p65.AD}	P{VT016266-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2340995451110555793	JRC_LH188_Brain_2019_20161116_31_B6	P{R47B03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2340995430629769361	JRC_LH188_Brain_2019_20161116_31_A2	P{R47B03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2420318080270860386	JRC_LH542_Brain_2019_20170623_22_F4	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2420318080082116706	JRC_LH542_Brain_2019_20170623_22_F2	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2420318079989842018	JRC_LH542_Brain_2019_20170623_22_F1	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2368600403756449890	JRC_LH542_Brain_2019_20170131_32_H4	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2368600403655786594	JRC_LH542_Brain_2019_20170131_32_H3	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2368600402879840354	JRC_LH1983_Brain_2019_20170131_32_G2	P{R76E07-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2368600402754011234	JRC_LH1983_Brain_2019_20170131_32_G1	P{R76E07-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2420318080363135074	JRC_LH542_Brain_2019_20170623_22_F5	P{R42D01-p65.AD}	P{R86A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2387442348318523490	JRC_LH770_Brain_2019_20170324_30_A2	P{R37E08-p65.AD}	P{R20G10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2387442348133974114	JRC_LH770_Brain_2019_20170324_30_A1	P{R37E08-p65.AD}	P{R20G10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2337809100550701201	JRC_LH2316_Brain_2019_20161104_19_A5	P{VT023823-p65.AD}	P{R34E09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2337809098629709969	JRC_LH2316_Brain_2019_20161104_19_A4	P{VT023823-p65.AD}	P{R34E09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2403997497572720738	JRC_LH2316_Brain_2019_20170509_32_F3	P{VT023823-p65.AD}	P{R34E09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2403997497673384034	JRC_LH2316_Brain_2019_20170509_32_F4	P{VT023823-p65.AD}	P{R34E09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2349763694432354402	JRC_LH18_Brain_2019_20161207_31_A3	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2349767954247188578	JRC_LH18_Brain_2019_20161207_31_A1	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2357274456340037730	JRC_LH1139_Brain_2019_20170103_33_G1	P{R93A02-p65.AD}	P{R44G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2357274456528781410	JRC_LH1139_Brain_2019_20170103_33_G3	P{R93A02-p65.AD}	P{R44G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2398915789282345058	JRC_LH1899_Brain_2019_20170425_32_C5	P{VT007394-p65.AD}	P{R75C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
