subject_id	subject_name	object	relation	pub	comment
VFB_001011bp	AL-DM3(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bp	AL-DM3(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bq	AL-DM3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bq	AL-DM3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011br	AL-DM4(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011br	AL-DM4(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bs	AL-DM4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bs	AL-DM4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bt	AL-DM5(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bt	AL-DM5(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bu	AL-DM5(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bu	AL-DM5(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bv	AL-DM6(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bv	AL-DM6(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bw	AL-DM6(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bw	AL-DM6(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bx	AL-DP1l(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bx	AL-DP1l(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011by	AL-DP1m(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011by	AL-DP1m(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011bz	AL-DP1m(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011bz	AL-DP1m(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c0	AL-V(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c0	AL-V(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c1	AL-VA1d(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c1	AL-VA1d(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c2	AL-VA1v(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c2	AL-VA1v(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c3	AL-VA2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c3	AL-VA2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c4	AL-VA3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c4	AL-VA3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c5	AL-VA4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c5	AL-VA4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c6	AL-VA5(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c6	AL-VA5(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c7	AL-VA6(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c7	AL-VA6(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c8	AL-VA6(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c8	AL-VA6(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011c9	AL-VA7l(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011c9	AL-VA7l(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ca	AL-VA7m(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ca	AL-VA7m(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cb	AL-VC1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cb	AL-VC1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cc	AL-VC2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cc	AL-VC2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cd	AL-VC3l(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cd	AL-VC3l(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ce	AL-VC3m(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ce	AL-VC3m(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cf	AL-VC4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cf	AL-VC4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cg	AL-VC5(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cg	AL-VC5(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ch	AL-VL1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ch	AL-VL1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ci	AL-VL2a(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ci	AL-VL2a(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cj	AL-VL2p(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cj	AL-VL2p(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ck	AL-VM1(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ck	AL-VM1(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cl	AL-VM2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cl	AL-VM2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cm	AL-VM3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cm	AL-VM3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cn	AL-VM4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cn	AL-VM4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011co	AL-VM5d(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011co	AL-VM5d(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cp	AL-VM5v(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cp	AL-VM5v(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
