subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
977006924	FB5Z	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
642365841	FB5Z	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
915615021	FB5Z	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
977339390	FB5Z	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
606362007	FB2E	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
729824475	FB2E	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1168625046	FB2E	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
760686202	FB2E	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5812995328	M_lvPNm26	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
1730656082	M_lvPNm26	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
609924156	M_lvPNm39	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
603785283	VP1l+VP3_ilPN	adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN	FlyBase:FBrf0246456		neuprint_JRC_Hemibrain_1point1	is_a
850717220	VP1l+VP3_ilPN	adult bilateral antennal lobe projection neuron VP1l+VP3 ilPN	FlyBase:FBrf0246456		neuprint_JRC_Hemibrain_1point1	is_a
1224941044	FB2A	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224595273	FB2A	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224258912	FB2A	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224945418	FB2A	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
614081151	FB5A	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
707539688	FB5A	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
797989902	FB5A	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
859372751	FB5A	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
674558711	FB5P	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1039076835	FB5P	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1102191395	FB5P	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1039080957	FB5P	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
666818300	V_l2PN	adult uniglomerular antennal lobe projection neuron V l2PN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
1225290633	FB4C	fan-shaped neuron F4	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1131836229	FB4C	fan-shaped neuron F4	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1411784734	M_lvPNm25	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
639276164	M_lvPNm25	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
