filename	synonyms	is_a	part_of	label	Template
AL-VM7d(R)	AL-VM7d(R)	antennal lobe glomerulus VM7d	male organism|adult brain|right side of organism	AL-VM7d(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VM7v(L)	AL-VM7v(L)	antennal lobe glomerulus VM7v	male organism|adult brain|left side of organism	AL-VM7v(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VM7v(R)	AL-VM7v(R)	antennal lobe glomerulus VM7v	male organism|adult brain|right side of organism	AL-VM7v(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1d(L)	AL-VP1d(L)	antennal lobe glomerulus VP1d	male organism|adult brain|left side of organism	AL-VP1d(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1d(R)	AL-VP1d(R)	antennal lobe glomerulus VP1d	male organism|adult brain|right side of organism	AL-VP1d(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1l(L)	AL-VP1l(L)	antennal lobe glomerulus VP1l	male organism|adult brain|left side of organism	AL-VP1l(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1l(R)	AL-VP1l(R)	antennal lobe glomerulus VP1l	male organism|adult brain|right side of organism	AL-VP1l(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1m(L)	AL-VP1m(L)	antennal lobe glomerulus VP1m	male organism|adult brain|left side of organism	AL-VP1m(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP1m(R)	AL-VP1m(R)	antennal lobe glomerulus VP1m	male organism|adult brain|right side of organism	AL-VP1m(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP2(L)	AL-VP2(L)	antennal lobe glomerulus VP2	male organism|adult brain|left side of organism	AL-VP2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP2(R)	AL-VP2(R)	antennal lobe glomerulus VP2	male organism|adult brain|right side of organism	AL-VP2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP3(L)	AL-VP3(L)	antennal lobe glomerulus VP3	male organism|adult brain|left side of organism	AL-VP3(L) on JRC2018Unisex	JRC2018Unisex_c
