filename	is_a	part_of	label	comment	dbxrefs
130786	adult neuron	male organism	C2_R (JRC_OpticLobe:130786)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:130786
63134	adult neuron	male organism	C2_R (JRC_OpticLobe:63134)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:63134
130818	adult neuron	male organism	C2_R (JRC_OpticLobe:130818)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:130818
99953	adult neuron	male organism	C2_R (JRC_OpticLobe:99953)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:99953
103009	adult neuron	male organism	C2_R (JRC_OpticLobe:103009)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103009
81055	adult neuron	male organism	C2_R (JRC_OpticLobe:81055)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:81055
108774	adult neuron	male organism	C2_R (JRC_OpticLobe:108774)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:108774
83340	adult neuron	male organism	C2_R (JRC_OpticLobe:83340)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:83340
93766	adult neuron	male organism	C2_R (JRC_OpticLobe:93766)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:93766
87136	adult neuron	male organism	C2_R (JRC_OpticLobe:87136)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:87136
111544	adult neuron	male organism	C2_R (JRC_OpticLobe:111544)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:111544
84310	adult neuron	male organism	C2_R (JRC_OpticLobe:84310)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:84310
95669	adult neuron	male organism	C2_R (JRC_OpticLobe:95669)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:95669
74491	adult neuron	male organism	C2_R (JRC_OpticLobe:74491)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:74491
82563	adult neuron	male organism	C2_R (JRC_OpticLobe:82563)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:82563
105576	adult neuron	male organism	C2_R (JRC_OpticLobe:105576)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:105576
72807	adult neuron	male organism	C2_R (JRC_OpticLobe:72807)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:72807
114861	adult neuron	male organism	C2_R (JRC_OpticLobe:114861)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:114861
89906	adult neuron	male organism	C2_R (JRC_OpticLobe:89906)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:89906
125930	adult neuron	male organism	C2_R (JRC_OpticLobe:125930)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:125930
101626	adult neuron	male organism	C2_R (JRC_OpticLobe:101626)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:101626
112645	adult neuron	male organism	C2_R (JRC_OpticLobe:112645)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:112645
112919	adult neuron	male organism	C2_R (JRC_OpticLobe:112919)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:112919
131106	adult neuron	male organism	C2_R (JRC_OpticLobe:131106)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:131106
97355	adult neuron	male organism	C2_R (JRC_OpticLobe:97355)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:97355
76179	adult neuron	male organism	C2_R (JRC_OpticLobe:76179)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:76179
66472	adult neuron	male organism	C2_R (JRC_OpticLobe:66472)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:66472
135207	adult neuron	male organism	C2_R (JRC_OpticLobe:135207)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:135207
91706	adult neuron	male organism	C2_R (JRC_OpticLobe:91706)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:91706
115933	adult neuron	male organism	C2_R (JRC_OpticLobe:115933)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:115933
97965	adult neuron	male organism	C2_R (JRC_OpticLobe:97965)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:97965
83310	adult neuron	male organism	C2_R (JRC_OpticLobe:83310)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:83310
