filename	label	is_a	part_of	dbxrefs	comment
1170891789	AOTU039_R - 1170891789	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1170891789	tracing status-Roughly traced, cropped-False
1013019093	AOTU039_R - 1013019093	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1013019093	tracing status-Roughly traced, cropped-False
1483679759	AOTU039_R - 1483679759	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1483679759	tracing status-Roughly traced, cropped-False
949930583	AOTU040_R - 949930583	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:949930583	tracing status-Roughly traced, cropped-False
1265037070	AOTU040_R - 1265037070	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1265037070	tracing status-Roughly traced, cropped-False
1108136270	AOTU040_R - 1108136270	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1108136270	tracing status-Roughly traced, cropped-False
861233275	AOTU041_R - 861233275	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861233275	tracing status-Roughly traced, cropped-False
860896571	AOTU041_R - 860896571	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860896571	tracing status-Roughly traced, cropped-False
892618060	AOTU041(AVM16)_L - 892618060	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892618060	tracing status-Roughly traced, cropped-False
892277112	AOTU041(AVM16)_L - 892277112	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892277112	tracing status-Roughly traced, cropped-False
1757612027	AOTU042_R - 1757612027	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1757612027	tracing status-Roughly traced, cropped-False
861251506	AOTU042(AVM16)_L - 861251506	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861251506	tracing status-Roughly traced, cropped-False
1137590955	AOTU042_R - 1137590955	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1137590955	tracing status-Roughly traced, cropped-False
5813057774	AOTU042(AVM16)_L - 5813057774	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813057774	tracing status-Roughly traced, cropped-False
540290380	AOTU043_R - 540290380	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:540290380	tracing status-Roughly traced, cropped-False
1378574332	AOTU043_R - 1378574332	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1378574332	tracing status-Roughly traced, cropped-False
757880474	AOTU044_R - 757880474	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:757880474	tracing status-Roughly traced, cropped-False
5812980457	AOTU044_R - 5812980457	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5812980457	tracing status-Roughly traced, cropped-False
1036149761	AOTU044_R - 1036149761	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1036149761	tracing status-Roughly traced, cropped-False
757538997	AOTU044_R - 757538997	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:757538997	tracing status-Roughly traced, cropped-False
