filename	Label	is_a	part_of	develops_from
AOTUv4B_H04(LAL)_0_2018U	AOTUv4B_H04(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H06(CRE)_0_2018U	AOTUv4B_H06(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H07(CRE)_0_2018U	AOTUv4B_H07(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H08(CRE)_0_2018U	AOTUv4B_H08(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H09(CRE)_0_2018U	AOTUv4B_H09(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_H10(CRE)_0_2018U	AOTUv4B_H10(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_P01(CRE)_0_2018U	AOTUv4B_P01(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_P02(CRE)_0_2018U	AOTUv4B_P02(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_P03(CRE)_0_2018U	AOTUv4B_P03(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_P04(BU)_0_2018U	AOTUv4B_P04(BU)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_T01(VES)_0_2018U	AOTUv4B_T01(VES)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_T02(VES)_0_2018U	AOTUv4B_T02(VES)_0_2018U	neuron	adult brain	neuroblast AOTUv4
AOTUv4B_T03(CRE)_0_2018U	AOTUv4B_T03(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv4
CREa2A_H01(a1)_0_2018U	CREa2A_H01(a1)_0_2018U	dopaminergic PAM neuron 11	adult brain	neuroblast CREa2
CREa2A_H02(b1ped)_0_2018U	CREa2A_H02(b1ped)_0_2018U	dopaminergic PAM neuron 9	adult brain	neuroblast CREa2
CREa2A_H03(b1)_0_2018U	CREa2A_H03(b1)_0_2018U	dopaminergic PAM neuron 10	adult brain	neuroblast CREa2
CREa2A_H04(b2)_0_2018U	CREa2A_H04(b2)_0_2018U	dopaminergic PAM neuron 4	adult brain	neuroblast CREa2
CREa2A_H05(b2)_0_2018U	CREa2A_H05(b2)_0_2018U	dopaminergic PAM neuron	adult brain	neuroblast CREa2
CREa2A_H06(r5)_0_2018U	CREa2A_H06(r5)_0_2018U	dopaminergic PAM neuron 1	adult brain	neuroblast CREa2
CREa2A_H07(b'2r5)_0_2018U	CREa2A_H07(b'2r5)_0_2018U	dopaminergic PAM neuron	adult brain	neuroblast CREa2
CREa2A_H08(b'2a)_0_2018U	CREa2A_H08(b'2a)_0_2018U	dopaminergic PAM neuron 2	adult brain	neuroblast CREa2
CREa2A_H09(b'2m)_0_2018U	CREa2A_H09(b'2m)_0_2018U	dopaminergic PAM neuron 6	adult brain	neuroblast CREa2
CREa2A_H10(r4)_0_2018U	CREa2A_H10(r4)_0_2018U	dopaminergic PAM neuron 8	adult brain	neuroblast CREa2
CREa2A_H11(b'2p)_0_2018U	CREa2A_H11(b'2p)_0_2018U	dopaminergic PAM neuron 5	adult brain	neuroblast CREa2
CREa2A_H12(b'2m)_0_2018U	CREa2A_H12(b'2m)_0_2018U	dopaminergic PAM neuron 6	adult brain	neuroblast CREa2
CREa2A_H13(b'1m)_0_2018U	CREa2A_H13(b'1m)_0_2018U	dopaminergic PAM neuron 14	adult brain	neuroblast CREa2
CREa2A_H14(b'1ap)_0_2018U	CREa2A_H14(b'1ap)_0_2018U	dopaminergic PAM neuron 13	adult brain	neuroblast CREa2
CREa2A_H15(r3)_0_2018U	CREa2A_H15(r3)_0_2018U	mushroom body medial lobe arborizing neuron 2	adult brain	neuroblast CREa2
CREa2A_H16(r4)_0_2018U	CREa2A_H16(r4)_0_2018U	dopaminergic PAM neuron 8	adult brain	neuroblast CREa2
CREa2A_H17(r4_r2)_0_2018U	CREa2A_H17(r4_r2)_0_2018U	dopaminergic PAM neuron	adult brain	neuroblast CREa2
CREa2A_H18(r4_r1r2)_0_2018U	CREa2A_H18(r4_r1r2)_0_2018U	dopaminergic PAM neuron 7	adult brain	neuroblast CREa2
CREa2A_H19(r4_5)_0_2018U	CREa2A_H19(r4_5)_0_2018U	dopaminergic PAM neuron	adult brain	neuroblast CREa2
CREa2A_H20(r5)_0_2018U	CREa2A_H20(r5)_0_2018U	dopaminergic PAM neuron 1	adult brain	neuroblast CREa2
CREa2A_H21(b'2m)_0_2018U	CREa2A_H21(b'2m)_0_2018U	dopaminergic PAM neuron 6	adult brain	neuroblast CREa2
CREa2A_H22(b2)_0_2018U	CREa2A_H22(b2)_0_2018U	dopaminergic PAM neuron	adult brain	neuroblast CREa2
CREa2A_H23(b2b'2)_0_2018U	CREa2A_H23(b2b'2)_0_2018U	mushroom body medial lobe arborizing neuron 3	adult brain	neuroblast CREa2
CREa2A_M01(FB)_0_2018U	CREa2A_M01(FB)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P01(PS)_0_2018U	CREa2B_P01(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P02(PS)_0_2018U	CREa2B_P02(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P03(PS)_0_2018U	CREa2B_P03(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P04(PS)_0_2018U	CREa2B_P04(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P05(PS)_0_2018U	CREa2B_P05(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P06(PS)_0_2018U	CREa2B_P06(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P07(PS)_0_2018U	CREa2B_P07(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P08(PS)_0_2018U	CREa2B_P08(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P09(PS)_0_2018U	CREa2B_P09(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P10(PS)_0_2018U	CREa2B_P10(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P11(PS)_0_2018U	CREa2B_P11(PS)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P12(LAL)_0_2018U	CREa2B_P12(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P13(LAL)_0_2018U	CREa2B_P13(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P14(LAL)_0_2018U	CREa2B_P14(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P15(LAL)_0_2018U	CREa2B_P15(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P16(LAL)_0_2018U	CREa2B_P16(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P17(LAL)_0_2018U	CREa2B_P17(LAL)_0_2018U	neuron	adult brain	neuroblast CREa2
CREa2B_P18(CRE)_0_2018U	CREa2B_P18(CRE)_0_2018U	neuron	adult brain	neuroblast CREa2
FLAa1_S01(SEG)_0_2018U	FLAa1_S01(SEG)_0_2018U	neuron	adult brain	neuroblast FLAa1
FLAa1_S02(LAL)_0_2018U	FLAa1_S02(LAL)_0_2018U	neuron	adult brain	neuroblast FLAa1
FLAa1_S03(VES)_0_2018U	FLAa1_S03(VES)_0_2018U	neuron	adult brain	neuroblast FLAa1
FLAa1_S04(VES)_0_2018U	FLAa1_S04(VES)_0_2018U	neuron	adult brain	neuroblast FLAa1
FLAa1_S05(VES)_0_2018U	FLAa1_S05(VES)_0_2018U	neuron	adult brain	neuroblast FLAa1
FLAa2_H01(CL)_0_2018U	FLAa2_H01(CL)_0_2018U	neuron	adult brain	neuroblast FLAa2
