object	relation	subject_id	subject_name
adult peripheral nervous system	overlaps	VFB_001027qr	neuron 8992 (FANC:496953)
adult ventral nerve cord	overlaps	VFB_001027qr	neuron 8992 (FANC:496953)
left side of organism	has_soma_location	VFB_001027qr	neuron 8992 (FANC:496953)
adult peripheral nervous system	overlaps	VFB_001027qt	neuron 8996 (FANC:497073)
adult ventral nerve cord	overlaps	VFB_001027qt	neuron 8996 (FANC:497073)
left side of organism	has_soma_location	VFB_001027qt	neuron 8996 (FANC:497073)
adult peripheral nervous system	overlaps	VFB_001027qw	neuron 9001 (FANC:497135)
adult ventral nerve cord	overlaps	VFB_001027qw	neuron 9001 (FANC:497135)
left side of organism	has_soma_location	VFB_001027qw	neuron 9001 (FANC:497135)
adult peripheral nervous system	overlaps	VFB_001027qy	neuron 9005 (FANC:497174)
adult ventral nerve cord	overlaps	VFB_001027qy	neuron 9005 (FANC:497174)
left side of organism	has_soma_location	VFB_001027qy	neuron 9005 (FANC:497174)
adult peripheral nervous system	overlaps	VFB_001027r0	neuron 9009 (FANC:497299)
adult ventral nerve cord	overlaps	VFB_001027r0	neuron 9009 (FANC:497299)
bilateral	has_characteristic	VFB_001027r0	neuron 9009 (FANC:497299)
left side of organism	has_soma_location	VFB_001027r0	neuron 9009 (FANC:497299)
adult peripheral nervous system	overlaps	VFB_001027r3	neuron 9013 (FANC:497367)
adult ventral nerve cord	overlaps	VFB_001027r3	neuron 9013 (FANC:497367)
left side of organism	has_soma_location	VFB_001027r3	neuron 9013 (FANC:497367)
adult peripheral nervous system	overlaps	VFB_0010287c	neuron 9017 (FANC:513690)
adult ventral nerve cord	overlaps	VFB_0010287c	neuron 9017 (FANC:513690)
left side of organism	has_soma_location	VFB_0010287c	neuron 9017 (FANC:513690)
adult peripheral nervous system	overlaps	VFB_0010287f	neuron 9021 (FANC:513727)
adult ventral nerve cord	overlaps	VFB_0010287f	neuron 9021 (FANC:513727)
left side of organism	has_soma_location	VFB_0010287f	neuron 9021 (FANC:513727)
adult peripheral nervous system	overlaps	VFB_001027r6	neuron 9025 (FANC:497450)
adult ventral nerve cord	overlaps	VFB_001027r6	neuron 9025 (FANC:497450)
left side of organism	has_soma_location	VFB_001027r6	neuron 9025 (FANC:497450)
adult peripheral nervous system	overlaps	VFB_001027r7	neuron 9029 (FANC:497473)
adult ventral nerve cord	overlaps	VFB_001027r7	neuron 9029 (FANC:497473)
left side of organism	has_soma_location	VFB_001027r7	neuron 9029 (FANC:497473)
adult peripheral nervous system	overlaps	VFB_001027ry	neuron 9171 (FANC:498127)
adult ventral nerve cord	overlaps	VFB_001027ry	neuron 9171 (FANC:498127)
left side of organism	has_soma_location	VFB_001027ry	neuron 9171 (FANC:498127)
adult peripheral nervous system	overlaps	VFB_001027rz	neuron 9175 (FANC:498145)
adult ventral nerve cord	overlaps	VFB_001027rz	neuron 9175 (FANC:498145)
left side of organism	has_soma_location	VFB_001027rz	neuron 9175 (FANC:498145)
adult peripheral nervous system	overlaps	VFB_001027s1	neuron 9187 (FANC:498192)
adult ventral nerve cord	overlaps	VFB_001027s1	neuron 9187 (FANC:498192)
left side of organism	has_soma_location	VFB_001027s1	neuron 9187 (FANC:498192)
adult peripheral nervous system	overlaps	VFB_001027s2	neuron 9191 (FANC:498211)
adult ventral nerve cord	overlaps	VFB_001027s2	neuron 9191 (FANC:498211)
left side of organism	has_soma_location	VFB_001027s2	neuron 9191 (FANC:498211)
adult peripheral nervous system	overlaps	VFB_001027s4	neuron 9195 (FANC:498244)
adult ventral nerve cord	overlaps	VFB_001027s4	neuron 9195 (FANC:498244)
left side of organism	has_soma_location	VFB_001027s4	neuron 9195 (FANC:498244)
adult peripheral nervous system	overlaps	VFB_001028h1	neuron 9203 (FANC:519083)
adult ventral nerve cord	overlaps	VFB_001028h1	neuron 9203 (FANC:519083)
adult ventral prothoracic nerve	fasciculates_with	VFB_001028h1	neuron 9203 (FANC:519083)
adult peripheral nervous system	overlaps	VFB_001027s7	neuron 9207 (FANC:498298)
adult ventral nerve cord	overlaps	VFB_001027s7	neuron 9207 (FANC:498298)
left side of organism	has_soma_location	VFB_001027s7	neuron 9207 (FANC:498298)
adult peripheral nervous system	overlaps	VFB_001027s9	neuron 9211 (FANC:498337)
adult ventral nerve cord	overlaps	VFB_001027s9	neuron 9211 (FANC:498337)
left side of organism	has_soma_location	VFB_001027s9	neuron 9211 (FANC:498337)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001028h2	neuron 9477 (FANC:519104)
adult peripheral nervous system	overlaps	VFB_001028h2	neuron 9477 (FANC:519104)
adult ventral nerve cord	overlaps	VFB_001028h2	neuron 9477 (FANC:519104)
adult peripheral nervous system	overlaps	VFB_001028ha	neuron 9494 (FANC:519290)
adult ventral nerve cord	overlaps	VFB_001028ha	neuron 9494 (FANC:519290)
adult peripheral nervous system	overlaps	VFB_001027u5	neuron 9552 (FANC:499628)
adult ventral nerve cord	overlaps	VFB_001027u5	neuron 9552 (FANC:499628)
left side of organism	has_soma_location	VFB_001027u5	neuron 9552 (FANC:499628)
adult peripheral nervous system	overlaps	VFB_001027u6	neuron 9557 (FANC:499653)
adult ventral nerve cord	overlaps	VFB_001027u6	neuron 9557 (FANC:499653)
left side of organism	has_soma_location	VFB_001027u6	neuron 9557 (FANC:499653)
adult peripheral nervous system	overlaps	VFB_001027ui	neuron 9630 (FANC:499871)
adult ventral nerve cord	overlaps	VFB_001027ui	neuron 9630 (FANC:499871)
left side of organism	has_soma_location	VFB_001027ui	neuron 9630 (FANC:499871)
adult peripheral nervous system	overlaps	VFB_001027uq	neuron 9687 (FANC:500017)
adult ventral nerve cord	overlaps	VFB_001027uq	neuron 9687 (FANC:500017)
left side of organism	has_soma_location	VFB_001027uq	neuron 9687 (FANC:500017)
adult peripheral nervous system	overlaps	VFB_001027us	neuron 9709 (FANC:500058)
adult ventral nerve cord	overlaps	VFB_001027us	neuron 9709 (FANC:500058)
left side of organism	has_soma_location	VFB_001027us	neuron 9709 (FANC:500058)
adult peripheral nervous system	overlaps	VFB_001027uz	neuron 9746 (FANC:500198)
adult ventral nerve cord	overlaps	VFB_001027uz	neuron 9746 (FANC:500198)
left side of organism	has_soma_location	VFB_001027uz	neuron 9746 (FANC:500198)
adult peripheral nervous system	overlaps	VFB_001027v4	neuron 9755 (FANC:500280)
adult ventral nerve cord	overlaps	VFB_001027v4	neuron 9755 (FANC:500280)
left side of organism	has_soma_location	VFB_001027v4	neuron 9755 (FANC:500280)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001028eb	neuron 9772 (FANC:516721)
adult peripheral nervous system	overlaps	VFB_001028eb	neuron 9772 (FANC:516721)
adult ventral nerve cord	overlaps	VFB_001028eb	neuron 9772 (FANC:516721)
left side of organism	has_soma_location	VFB_001028eb	neuron 9772 (FANC:516721)
adult peripheral nervous system	overlaps	VFB_001027va	neuron 9797 (FANC:500390)
adult ventral nerve cord	overlaps	VFB_001027va	neuron 9797 (FANC:500390)
left side of organism	has_soma_location	VFB_001027va	neuron 9797 (FANC:500390)
adult peripheral nervous system	overlaps	VFB_001028ey	neuron 9842 (FANC:517199)
adult ventral nerve cord	overlaps	VFB_001028ey	neuron 9842 (FANC:517199)
left side of organism	has_soma_location	VFB_001028ey	neuron 9842 (FANC:517199)
adult peripheral nervous system	overlaps	VFB_001028f1	neuron 9852 (FANC:517244)
adult ventral nerve cord	overlaps	VFB_001028f1	neuron 9852 (FANC:517244)
left side of organism	has_soma_location	VFB_001028f1	neuron 9852 (FANC:517244)
adult peripheral nervous system	overlaps	VFB_001027vq	neuron 9857 (FANC:500653)
adult ventral nerve cord	overlaps	VFB_001027vq	neuron 9857 (FANC:500653)
left side of organism	has_soma_location	VFB_001027vq	neuron 9857 (FANC:500653)
adult peripheral nervous system	overlaps	VFB_001027vt	neuron 9862 (FANC:500701)
adult ventral nerve cord	overlaps	VFB_001027vt	neuron 9862 (FANC:500701)
left side of organism	has_soma_location	VFB_001027vt	neuron 9862 (FANC:500701)
adult peripheral nervous system	overlaps	VFB_001027vu	neuron 9867 (FANC:500719)
adult ventral nerve cord	overlaps	VFB_001027vu	neuron 9867 (FANC:500719)
left side of organism	has_soma_location	VFB_001027vu	neuron 9867 (FANC:500719)
adult dorsal prothoracic nerve	fasciculates_with	VFB_001028f5	neuron 9873 (FANC:517296)
adult peripheral nervous system	overlaps	VFB_001028f5	neuron 9873 (FANC:517296)
adult ventral nerve cord	overlaps	VFB_001028f5	neuron 9873 (FANC:517296)
left side of organism	has_soma_location	VFB_001028f5	neuron 9873 (FANC:517296)
adult peripheral nervous system	overlaps	VFB_001027vx	neuron 9878 (FANC:500767)
adult ventral nerve cord	overlaps	VFB_001027vx	neuron 9878 (FANC:500767)
left side of organism	has_soma_location	VFB_001027vx	neuron 9878 (FANC:500767)
adult peripheral nervous system	overlaps	VFB_001027vz	neuron 9883 (FANC:500799)
adult ventral nerve cord	overlaps	VFB_001027vz	neuron 9883 (FANC:500799)
