subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	1709802	AN-L-Sens-B2-AVa-24 (PPS mechano)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	1347886	AN-L-Sens-B2-AVp-01	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998899	AN-L-Sens-B2-AVp-02	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15996160	AN-L-Sens-B2-AVp-03	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998913	AN-L-Sens-B2-VM-04	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15998319	AN-L-Sens-B2-VM-05	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15996271	AN-L-Sens-B2-VM-06	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	17608754	AN-L-Sens-B2-VM-07	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15995861	AN-L-Sens-B2-VM-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3608397	AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3639968	AN-L-Sens-B3-ACal-02 (temp sensing left neuron together 2)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3609202	AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5093516	AN-L-Sens-B3-ACal-04 (Non-ORN 2)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	2610744	AN-L-Sens-B3-ACal-05 (Non-ORN 1)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5116147	AN-L-Sens-B3-ACal-06 (degraded alone temperature partner neuron)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3586984	AN-L-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) 	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3652587	AN-L-Sens-B3-ACp-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5186461	AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5088293	AN-L-Sens-B3-ACpl-10	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5057916	AN-L-Sens-B3-VM-11	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5120097	AN-L-Sens-B3-VM-12	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5120990	AN-L-Sens-B3-VM-13	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5095269	AN-L-Sens-B3-VM-14	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	5116861	AN-L-Sens-B3-VM-15	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	17248923	AN-R-motor-05	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	882339	AN-R-motor-06	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	15567384	AN-R-motor-07	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	1218587	AN-R-motor-08	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	875613	AN-R-motor-09	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	3340561	AN-R-motor-10	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	910064	AN-R-motor-11	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	12901662	AN-R-motor-12	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
